#     nbulk,    tp64,   tp128,   tp192,   tp256,   tp512,  tp1024,  tp1514 [pps]
	1, 1893130,    1885903,    1892502,    1898301,    1872562,    1893106,    1627213
	4, 1907595,    1917758,    1913688,    1902614,    1919238,    1908497,    1630460
  8, 1911162,    1916139,    1914395,    1909480,    1914554,    1908783,    1630477
 12, 1916584,    1921794,    1914120,    1919860,    1913732,    1917766,    1630452
 24, 1921776,    1921781,    1922729,    1919604,    1923315,    1921020,    1630474
 28, 1917248,    1925431,    1917924,    1921575,    1929289,    1910852,    1630471
 32, 1919105,    1916765,    1919888,    1920726,    1912555,    1905488,    1627223
 36, 1919420,    1921184,    1917580,    1922596,    1925070,    1918725,    1630591
 40, 1908066,    1925893,    1917063,    1919186,    1922518,    1917498,    1630466
 64, 1923406,    1928454,    1925867,    1904078,    1923507,    1920080,    1630453



