#  dly[us],        clk,    latency,      accur
         1,       1844,   1.026851,   1.026851
         2,       3686,   2.052589,   1.026295
         3,       5476,   3.049370,   1.016457
         4,       7259,   4.042253,   1.010563
         5,       9065,   5.047944,   1.009589
         6,      10856,   6.045282,   1.007547
         7,      12643,   7.040392,   1.005770
         8,      14443,   8.042742,   1.005343
         9,      16246,   9.046762,   1.005196
        10,      18021,  10.035190,   1.003519
